08-19T03:30:55,1503113455,7087111,50,15
08-19T03:31:35,1503113495,3587111,50,15
08-19T03:32:14,1503113534,28087111,50,15
08-19T03:32:54,1503113574,14087111,50,15
08-19T03:33:34,1503113614,7087111,50,15
08-19T03:34:14,1503113654,3587111,50,15
08-19T03:34:54,1503113694,28087111,50,15
08-19T03:35:34,1503113734,14087111,50,15
08-19T03:36:14,1503113774,7087111,50,15
08-19T03:36:54,1503113814,3587111,50,15
08-19T03:37:34,1503113854,28087111,50,15
08-19T03:38:13,1503113893,14087111,50,15
08-19T03:38:53,1503113933,7087111,50,15
08-19T03:39:33,1503113973,3587111,50,15
08-19T03:40:13,1503114013,28087111,50,15
08-19T03:40:53,1503114053,14087111,50,15
08-19T03:41:33,1503114093,7087111,50,15
08-19T03:42:12,1503114132,3587111,50,15
08-19T03:42:52,1503114172,28087111,50,15
08-19T03:43:32,1503114212,14087111,50,15
08-19T03:44:12,1503114252,7087111,50,15
08-19T03:44:52,1503114292,3587111,50,15
08-19T03:45:32,1503114332,28087111,50,15
08-19T03:46:12,1503114372,14087111,50,15
08-19T03:46:51,1503114411,7087111,50,15
08-19T03:47:31,1503114451,3587111,50,15
08-19T03:48:11,1503114491,28087111,50,15
08-19T03:48:51,1503114531,14087111,50,15
08-19T03:49:31,1503114571,7087111,50,15
08-19T03:50:11,1503114611,3587111,50,15
08-19T03:50:51,1503114651,28087111,50,15
08-19T03:51:31,1503114691,14087111,50,15
08-19T03:52:10,1503114730,7087111,50,15
08-19T03:52:50,1503114770,3587111,50,15
08-19T03:53:30,1503114810,28087111,50,15
08-19T03:54:10,1503114850,14087111,50,15
08-19T03:54:50,1503114890,7087111,50,15
08-19T03:55:30,1503114930,3587111,50,15
08-19T03:56:10,1503114970,28087111,50,15
08-19T03:56:49,1503115009,14087111,50,15
08-19T03:57:29,1503115049,7087111,50,15
08-19T03:58:09,1503115089,3587111,50,15
08-19T03:58:49,1503115129,28087111,50,15
08-19T03:59:29,1503115169,14087111,50,15
08-19T04:00:09,1503115209,7087111,50,15
08-19T04:00:49,1503115249,3587111,50,15
08-19T04:01:29,1503115289,28087111,50,15
08-19T04:02:09,1503115329,14087111,50,15
08-19T04:02:49,1503115369,7087111,50,15
08-19T04:03:28,1503115408,3587111,50,15
08-19T04:04:08,1503115448,28087111,50,15
08-19T04:04:48,1503115488,14087111,50,15
08-19T04:05:28,1503115528,7087111,50,15
08-19T04:06:08,1503115568,3587111,50,15
08-19T04:06:48,1503115608,28087111,50,15
08-19T04:07:28,1503115648,14087111,50,15
08-19T04:08:07,1503115687,7087111,50,15
